Automation Status,Manual Status,Product,Customer,Ordered Date,Line ID,Shipping Location
Automated,Automated,Power,Zazzle.com,2022-06-09,348450780660,North America
Automated,Automated,Chargers,St. Vintage Hospital,2022-11-27,176020627752,Europe
Automated,Automated,Chargers,Zazzle.com,2022-12-23,824265592958,Europe
Automated,Automated,Lighting,Fumahol,2022-08-19,109897789611,Europe
Automated,Automated,Chargers,Large Industries,2023-03-28,958271582465,Europe
Automated,Automated,Others,Axiom,2022-05-14,387846073752,Europe
Automated,Automated,Lighting,Axiom,2022-09-17,504506638293,Europe
Automated,Automated,Others,Fumahol,2022-04-17,473435393820,North America
,Partial,Others,AL'S,2023-03-13,418534394543,South America
Automated,Automated,Lighting,Axiom,2022-07-17,966132131149,Asia
Automated,Automated,Chargers,AL'S,2022-06-04,431912205139,Asia
Automated,Automated,Power,Pix-Vue,2022-08-28,670061904626,South America
Automated,Automated,Others,Large Industries,2022-12-18,251837184743,North America
Automated,Automated,Chargers,Axiom,2023-03-31,656889207368,South America
Automated,Automated,Chargers,Axiom,2022-04-16,324241901060,Europe
Automated,Automated,Lighting,Buy Yogurt,2022-07-10,503065661388,Asia
Automated,Automated,Chargers,Fumahol,2022-11-23,755661528619,Europe
Automated,Automated,Others,Fumahol,2022-11-21,529293765939,Asia
Automated,Automated,Others,Large Industries,2022-05-30,152370647521,North America
Automated,Automated,Power,Fumahol,2022-12-25,794346918226,Europe
Automated,Automated,Others,Axiom,2022-04-03,868945258655,South America
Automated,Automated,Power,AL'S,2023-01-16,448993497527,Europe
Automated,Automated,Lighting,Pix-Vue,2023-01-09,346242782996,Asia
Automated,Automated,Power,Fumahol,2022-12-09,992632032394,Europe
Automated,Automated,Lighting,Zazzle.com,2022-07-20,698920767941,North America
Automated,Automated,Power,Buy Yogurt,2023-01-18,571395514360,North America
Automated,Automated,Lighting,Axiom,2022-05-08,881514501657,Europe
,Manual,Power,AL'S,2022-08-17,769197385318,South America
Automated,Automated,Power,St. Vintage Hospital,2023-02-06,560086915924,North America
Automated,Automated,Lighting,AL'S,2022-11-23,471916024468,South America
Automated,Automated,Others,Pix-Vue,2022-09-12,586529744198,Europe
,Partial,Others,Pix-Vue,2023-01-25,116638338009,North America
Automated,Automated,Others,Zazzle.com,2022-05-07,979222620315,Europe
Automated,Automated,Power,Large Industries,2022-06-02,318883595869,Europe
Automated,Automated,Others,Pix-Vue,2023-01-30,993451598386,South America
,Manual,Power,St. Vintage Hospital,2022-07-26,865989379148,South America
Automated,Automated,Others,Fumahol,2022-12-18,582368396792,Europe
Automated,Automated,Lighting,St. Vintage Hospital,2022-12-24,536933997737,North America
Automated,Automated,Others,Zazzle.com,2022-05-05,913983400491,North America
Automated,Automated,Chargers,Fumahol,2023-03-22,212865748137,South America
Automated,Automated,Power,AL'S,2022-11-19,621229210587,Asia
Automated,Automated,Chargers,Axiom,2022-10-22,505434753445,Europe
Automated,Automated,Chargers,Fumahol,2023-02-02,728302345038,Asia
Automated,Automated,Others,AL'S,2022-04-06,410563889673,Europe
Automated,Automated,Power,St. Vintage Hospital,2022-06-18,634840544567,North America
Automated,Automated,Others,Zazzle.com,2022-04-06,930318393301,North America
Automated,Automated,Power,Zazzle.com,2022-12-27,319851644919,North America
Automated,Automated,Power,Axiom,2022-08-05,580170778866,North America
Automated,Automated,Others,Pix-Vue,2022-06-10,534570558290,North America
Automated,Automated,Power,Axiom,2022-12-12,489229309400,Europe
Automated,Automated,Power,St. Vintage Hospital,2022-12-05,680427862652,North America
Automated,Automated,Chargers,St. Vintage Hospital,2022-09-03,639109758931,Europe
Automated,Automated,Chargers,Pix-Vue,2022-09-28,942189298963,North America
Automated,Automated,Lighting,Fumahol,2022-06-01,903102743013,North America
Automated,Automated,Others,Fumahol,2022-05-02,135478758438,Europe
Automated,Automated,Lighting,Fumahol,2022-11-14,385948095516,South America
Automated,Automated,Others,Buy Yogurt,2023-03-14,261354394774,North America
Automated,Automated,Chargers,Fumahol,2022-11-21,502094590785,South America
Automated,Automated,Lighting,Buy Yogurt,2022-06-08,333889778015,South America
