Invoice Number,Shipping Location,Contended Invoice,Invoice Date,Product Type,Ordered Date
281792477976,South America,,2022-11-21,Lighting,2022-10-27
748685202571,Asia,,2023-02-14,Others,2023-01-23
409337664520,Europe,,2022-09-24,Others,2022-09-01
352092995397,Europe,,2023-03-08,Chargers,2023-02-22
567017269644,Asia,,2022-04-06,Others,2022-03-04
110321247593,Europe,,2023-03-27,Lighting,2023-03-10
517233546265,North America,,2022-12-23,Chargers,2022-12-09
359430976253,Asia,,2023-02-19,Power,2023-02-08
410741570510,South America,,2023-03-19,Power,2023-02-08
992442395304,North America,,2023-01-03,Power,2022-11-25
345714974344,North America,,2023-03-04,Others,2023-02-11
114157231451,Europe,,2022-07-18,Lighting,2022-06-23
463909665224,South America,,2022-08-07,Chargers,2022-07-17
461583970339,South America,,2022-06-27,Others,2022-05-18
560224389337,South America,,2022-08-08,Lighting,2022-07-24
732251675565,North America,,2022-08-27,Lighting,2022-08-07
410521652470,Europe,,2023-02-23,Power,2023-02-11
647245396393,North America,,2023-02-06,Others,2022-12-28
141632410147,North America,,2022-08-04,Others,2022-07-16
255250744293,Europe,,2022-10-08,Lighting,2022-09-11
633676153066,Asia,,2022-05-05,Power,2022-04-21
760975688643,Europe,,2023-01-13,Others,2022-12-30
689529403036,Europe,,2023-03-21,Others,2023-03-16
105251904361,North America,,2023-01-13,Chargers,2022-12-22
669522496910,North America,,2022-10-26,Lighting,2022-10-18
910830729231,South America,,2022-10-15,Lighting,2022-10-11
240975593081,North America,,2022-08-17,Lighting,2022-07-24
433177989325,South America,,2022-09-09,Others,2022-08-02
591640320102,Asia,,2022-07-06,Lighting,2022-06-03
442080071440,South America,,2022-09-04,Others,2022-08-19
456837770533,Asia,,2022-12-26,Others,2022-12-07
234930856915,North America,,2022-07-24,Others,2022-07-23
505321179515,South America,,2023-01-16,Others,2022-12-10
289826444259,Asia,,2022-11-19,Power,2022-10-31
780887393373,Europe,,2022-08-14,Power,2022-07-11
103590707182,North America,,2022-09-01,Lighting,2022-08-19
995693426398,Asia,,2022-05-18,Power,2022-04-28
526757375888,Europe,,2022-10-19,Others,2022-10-10
477812663885,Europe,,2022-07-21,Chargers,2022-06-15
486335344861,Asia,,2022-07-30,Lighting,2022-07-28
877941682618,North America,,2022-10-31,Chargers,2022-09-28
532689187027,North America,,2022-12-24,Lighting,2022-12-11
912424056651,Europe,,2022-04-02,Power,2022-02-26
647437896707,South America,,2022-07-30,Power,2022-07-22
418213866204,Europe,,2022-10-31,Others,2022-10-17
500827336763,Asia,,2022-07-23,Lighting,2022-07-14
363460569600,Europe,,2022-05-31,Power,2022-05-13
158137849715,Asia,,2022-08-16,Chargers,2022-08-04
880036044078,South America,,2022-06-09,Chargers,2022-05-22
879082882025,South America,,2022-04-02,Lighting,2022-03-19
187153739054,North America,,2022-08-04,Others,2022-07-12
857016021488,North America,,2023-01-12,Power,2022-12-18
524147397650,South America,,2022-09-29,Chargers,2022-09-13
655318449016,Europe,,2023-03-26,Power,2023-02-15
463684998374,South America,,2022-04-30,Lighting,2022-04-19
958474018759,Europe,,2022-05-16,Power,2022-04-14
445963619016,North America,,2023-03-29,Chargers,2023-02-24
767509524509,North America,560988850989,2023-02-07,Power,2023-01-14
893421288384,North America,,2022-05-17,Chargers,2022-04-07
478523556072,Europe,103722952189,2022-04-15,Chargers,2022-03-06
155777591889,South America,,2022-08-30,Lighting,2022-07-22
444791090981,Asia,,2022-07-09,Power,2022-07-03
191623475163,North America,,2022-09-07,Power,2022-08-23
577362435269,Asia,,2022-11-12,Power,2022-10-12
625255993780,Europe,,2022-06-04,Chargers,2022-05-11
458956680805,North America,,2022-08-21,Chargers,2022-07-20
454436782308,Europe,,2022-04-18,Chargers,2022-04-14
820960166933,Europe,,2022-07-16,Others,2022-06-30
532993444889,Asia,,2022-07-20,Chargers,2022-06-22
438467921063,South America,395145040157,2022-08-03,Lighting,2022-07-10
